,Thunderstorm Wind,Waterspout,Marine Thunderstorm Wind,Hail,Flood,Flash Flood,Excessive Heat,Lightning,Debris Flow,Wildfire,Tornado,Blizzard
event_type_avg_severity,4.7877965,0.010373121,3.4150782,0.14704661,2.4140127,0.039868776,0.004412217,0.07764805,0.88554275,0.037243843,0.25945175,0.26733956
event_rarity_score,0.037556473,0.0,2.2895458,0.50482273,0.08376928,0.046583764,0.03385938,3.0617185,0.08654328,1.1068802,0.6064384,1.1741676
days_since_last_cascade_trigger,0.63813686,0.5493398,0.42030233,0.9218164,0.5911616,0.9661059,0.078833066,0.5117595,0.4512671,0.47220322,0.50374514,0.26813257
etype_Marine Thunderstorm Wind,0.0,5.4265723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_winter_type,0.0,0.0,0.0,0.0,0.056504004,0.003943336,0.0,0.0,0.0,0.23640776,0.0,2.320037
event_type_avg_damage,0.037399247,0.0,0.0,0.26875633,0.42935586,0.53557575,0.3381245,0.0,0.11387109,0.13766146,1.6701887,0.11590697
has_coordinates,0.0,0.0,0.016058328,0.0,0.05800706,0.0,0.8362939,0.0,0.0,2.297248,0.0,0.2824125
STATE_FIPS,0.044847842,0.81765187,2.2383661,0.015159428,0.02224769,0.028521921,0.03849564,0.061612103,0.09735584,0.148399,0.0273551,0.05160445
BEGIN_LON,0.055672772,0.019492645,0.0458453,0.13814305,0.0272554,0.10904091,0.05981235,0.11774559,1.9713975,0.03099783,0.098308094,0.0
days_since_last_event,0.29592237,0.23028094,0.42442426,0.3444953,0.23865178,0.39016056,0.017738018,0.24111155,0.20505513,0.103397034,0.13225003,0.08220303
event_duration_hours,0.09612553,0.042285793,0.018971497,0.4246346,0.029816711,0.028712563,0.24664292,0.005429988,0.13946724,0.25020668,0.122847475,0.03840253
is_convective_type,0.0030723056,0.0,0.0,0.2407209,1.4452798,0.45759523,0.0,0.3060587,0.028072128,0.00023182004,0.010017109,0.0
location_cascade_rate,0.17072855,0.115954556,0.20617107,0.27815214,0.17091745,0.24096145,0.105750754,0.16042288,0.23564434,0.29675388,0.1046787,0.050754216
BEGIN_LAT,0.0303266,0.05590719,0.06628699,0.07080264,0.041703075,0.0447243,0.16138916,0.035143457,0.12891795,1.3444467,0.09048988,0.024267804
etype_Hail,0.5645398,0.0,0.0,1.2375767,0.0,0.0029874514,0.0,0.0007337122,0.029022858,0.0,0.2072981,0.0
day_of_year,0.13479342,0.051768977,0.012917767,0.1577475,0.057443768,0.12471903,0.21784085,0.21195357,0.057543974,0.05703924,0.1977889,0.15760629
etype_Winter Storm,0.0,0.0,0.0,0.0,0.06799937,0.007808728,0.0,0.0,0.0036709209,0.0,0.0,0.009176354
month_cos,0.02251293,0.013535041,0.006273103,0.02097145,0.024886077,0.041177694,0.19502316,0.02072207,0.013253109,0.13159326,0.010978252,0.26614398
etype_Heat,0.0,0.0,0.0,0.0,0.0,0.0,1.7923857,0.0,0.0,0.0044693537,0.0,0.0
is_zone_event,0.044888224,0.0,0.0,0.4165063,0.21205808,0.76384646,0.0,0.0,0.0,0.0,0.16191767,0.0
